@relation 'song-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R16,73,86,92-93,95,99,105-106,108,112-114,117,120-122,124-125,129,136,140,143,146,150,154-157,159-160,164,169,173-174,178'

@attribute pitches2-med numeric
@attribute pitches10-var numeric
@attribute timbre0-med numeric
@attribute timbre1-mean numeric
@attribute timbre1-med numeric
@attribute timbre1-min numeric
@attribute timbre2-mean numeric
@attribute timbre2-krt numeric
@attribute timbre3-mean numeric
@attribute timbre3-var numeric
@attribute timbre3-krt numeric
@attribute timbre4-mean numeric
@attribute timbre4-med numeric
@attribute timbre4-max numeric
@attribute timbre5-mean numeric
@attribute timbre5-med numeric
@attribute timbre5-var numeric
@attribute timbre5-max numeric
@attribute timbre5-skw numeric
@attribute timbre6-var numeric
@attribute timbre7-var numeric
@attribute timbre7-krt numeric
@attribute timbre8-var numeric
@attribute timbre8-skw numeric
@attribute timbre9-var numeric
@attribute timbre9-krt numeric
@attribute timbre10-mean numeric
@attribute timbre10-med numeric
@attribute timbre10-var numeric
@attribute timbre10-max numeric
@attribute timbre10-skw numeric
@attribute timbre11-var numeric
@attribute loudmax-mean numeric
@attribute loudmax-max numeric
@attribute loudmax-skw numeric
@attribute genre {Pop_Rock,Electronic,Rap,Jazz,Latin,RnB,International,Country,Religious,Reggae,Blues,Vocal,Folk,New,Comedy_Spoken,Stage,Easy_Listening,Avant_Garde,Classical,Children,Holiday}

@data
0.664,0.129549,42.497,15.6629,14.318,-213.799,-5.78968,0.203365,-0.789845,2968.07,1.708595,-43.2349,-41.778,68.117,15.1709,12.925,1411.37,136.924,0.305407,729.029,1289.94,0.273772,729.295,0.079148,581.962,0.792964,-13.5633,-10.957,600.77,56.65,-0.374805,314.232,-13.5783,-6.384,-2.740958,Rap
0.2455,0.094633,44.1075,-4.03539,-4.0145,-104.935,23.5723,0.126219,12.9236,1592.17,0.022437,-2.54504,-1.6455,71.844,5.05239,0.37,848.11,195.091,1.087699,403.61,384.477,0.880139,308.134,-0.127353,282.151,1.51383,-2.75264,-2.209,258.996,50.655,-0.040441,146.146,-12.4506,-5.349,-3.759992,Pop_Rock
0.29,0.036956,47.161,41.149,43.3,-109.533,57.5993,0.539334,5.69531,996.355,29.325972,0.979893,3.966,72.483,-7.36008,-9.922,485.269,202.348,0.611856,488.369,305.86,0.563795,659.361,-1.695544,228.705,2.232092,0.261616,1.199,155.987,37.213,-0.364752,347.229,-11.1149,-4.048,-5.151153,Pop_Rock
0.32,0.063608,51.497,27.8456,27.19,-31.816,47.0913,4.114703,11.08,927.453,78.762596,-43.5054,-42.667,54.144,-17.9973,-19.334,541.745,164.101,0.613083,402.821,229.144,5.367737,188.283,0.245894,171.139,2.510782,5.44843,4.823,211.886,83.125,0.075252,119.32,-6.51317,-1.615,-5.298807,Pop_Rock
0.212,0.144296,43.515,-9.01993,-10.718,-124.275,7.33246,0.267381,-13.0025,1123.64,9.566496,-5.64285,-7.186,109.457,-11.546,-13.406,475.185,65.433,0.119915,561.7,439.456,3.959552,321.182,-0.216453,218.491,0.973402,2.24223,3.275,210.445,59.662,-0.268409,346.781,-13.6177,-4.782,-2.169983,Religious
0.253,0.099808,31.59,6.38163,-0.429,-129.511,14.7406,0.267816,-12.6079,3629.53,1.62725,31.2661,35.968,142.025,28.7659,23.502,1748.64,155.098,0.459654,933.429,1357.48,1.040378,1378.23,0.339531,710.159,0.539176,-11.1997,-9.956,783.505,81.586,-0.297474,370.3,-23.6746,-8.085,-0.889924,Rap
0.3105,0.071464,41.905,6.28191,8.2135,-125.082,34.6552,0.856248,-1.29694,630.058,2.993941,-32.7627,-33.136,64.119,-14.6125,-16.847,420.412,99.413,1.056293,311.739,381.438,0.917506,240.147,0.037556,235.774,0.947121,-0.40923,0.044,177.476,53.12,-0.018831,201.247,-16.5008,-9.947,-3.236653,Pop_Rock
0.083,0.110734,46.15,41.8435,47.275,-70.962,13.4412,-0.070857,-5.8977,522.75,7.03942,-36.9568,-36.73,30.212,-17.1528,-18.221,259.591,34.703,0.39662,582.069,369.925,1.013769,355.715,-0.01978,196.55,0.54603,-8.50749,-7.757,125.81,26.954,-0.275751,267.172,-11.8868,-6.341,-3.764666,Pop_Rock
0.098,0.04301,46.861,44.7007,48.83,-95.536,22.5454,-0.013958,9.91702,657.295,3.023342,10.7454,8.952,91.581,-13.2288,-16.925,634.508,93.747,0.56553,353.757,261.309,1.169212,270.91,-0.049081,198.594,2.302055,1.03925,1.124,179.924,43.755,-0.047239,188.814,-10.4191,-4.044,-4.203939,RnB
0.254,0.048466,42.073,-59.6562,-52.699,-246.466,0.432344,0.699957,12.4554,1503.02,1.549265,-3.55208,-3.4935,110.109,-6.1526,-12.3215,1026.08,144.356,1.176419,468.888,504.827,1.774867,411.381,-0.685894,367.506,0.600907,7.6615,6.9785,263.757,71.029,0.148028,260.705,-12.9768,-2.494,-0.7905,Pop_Rock
0.3485,0.061976,37.017,-4.82531,-4.888,-146.206,16.111,1.155084,31.5141,1376.06,1.9516,-5.94831,-5.83,91.279,-8.91261,-14.874,979.856,191.963,1.211159,569.486,394.587,0.230377,286.538,-0.336248,341.117,0.178665,8.46455,6.217,367.424,88.9,0.561546,309.548,-19.7511,-10.325,-1.719033,New
0.8335,0.005409,48.0695,-10.9849,-8.901,-157.735,10.4805,3.705154,0.350985,645.547,5.28411,0.960766,2.4525,66.556,-10.4952,-12.5555,345.518,94.962,0.72615,279.713,260.117,1.140794,188.865,0.366419,254.549,1.119026,4.39429,4.504,154.019,53.717,-0.05308,159.638,-9.41293,-2.249,-2.527563,Pop_Rock
0.2005,0.140039,43.209,-28.056,-30.651,-134.522,33.2787,0.625424,5.10248,1470.75,2.548868,-3.84349,-5.4395,78.564,3.71951,-2.689,957.627,122.838,0.778787,543.376,495.885,1.978717,514.155,0.234619,268.225,0.492975,-3.03134,-1.1305,338.963,58.462,-0.678606,441.634,-12.7159,-2.138,-1.685374,Pop_Rock
0.373,0.052697,52.557,17.6093,20.06,-80.134,32.172,0.560231,-1.42558,875.391,51.438261,-25.2389,-22.994,57.491,-13.9828,-17.83,603.598,136.554,1.321866,411.441,351.459,3.934271,227.362,0.186231,216.828,2.537576,-0.745489,0.044,165.544,48.931,-1.367687,167.99,-6.15522,-1.376,-3.924285,Pop_Rock
0.213,0.095026,51.794,11.4218,7.734,-140.503,27.6087,1.238949,-6.05022,920.091,42.586643,-9.01426,-6.105,66.055,-4.74321,-6.924,576.711,75.924,-0.349004,369.099,370.33,1.555608,437.539,0.518732,250.974,1.331766,-1.69065,-0.5405,197.743,70.911,0.019328,225.598,-6.30626,-1.289,-4.939633,Comedy_Spoken
0.2515,0.058639,36.5335,-93.5208,-95.17,-228.123,69.4216,0.129284,4.16491,2673.11,4.336498,-56.5545,-54.115,57.491,11.6293,3.067,1392.05,173.791,1.266464,1095.32,464.722,9.227744,986.786,-0.037805,316.825,3.767448,-2.59249,0.7125,504.682,57.98,-0.684909,526.889,-20.7469,-14.039,-1.937087,Pop_Rock
0.163,0.040082,41.273,-41.0135,-39.719,-202.621,12.1421,-0.297385,-18.2089,1290.93,1.617317,17.0307,11.588,140.201,-11.8844,-15.843,658.951,133.443,1.069691,961.887,463.914,2.461811,734.379,0.274572,378.652,1.939119,-1.98154,-1.972,230.906,55.743,-0.173123,666.745,-17.3522,-5.505,-0.973332,RnB
0.176,0.053382,39.885,29.7216,25.501,-74.793,7.20318,2.743579,-2.55046,993.882,23.134575,-53.3914,-54.906,61.032,-18.7056,-19.669,300.969,64.408,0.207683,324.056,463.359,1.51909,310.34,-0.220564,247.052,2.514733,3.24139,2.305,150.285,63.638,0.653047,218.208,-19.9751,-8.468,-2.252713,Pop_Rock
0.243,0.091623,45.1875,-17.4543,-9.4835,-132.762,68.7377,0.385096,-1.61186,953.137,28.613495,-28.2692,-29.525,57.36,7.17115,4.311,351.147,152.702,1.175071,596.963,229.168,11.230354,216.071,0.241644,232.386,3.335683,4.40709,5.762,184.413,32.028,-1.659294,313.887,-12.265,-8.158,-0.738145,Pop_Rock
0.183,0.108933,46.005,18.3458,13.928,-73.362,27.6342,0.623575,7.89168,973.394,33.011989,4.69481,3.523,123.823,-10.6306,-12.981,708.29,160.948,0.682028,634.599,224.232,2.848094,292.618,0.00207,213.486,0.427583,1.89508,2.101,214.102,64.497,-0.187263,227.906,-10.9346,-4.428,-0.897786,Latin
0.16,0.075173,45.855,-33.0178,-29.064,-214.005,47.9209,0.32204,11.9387,2092.75,6.940546,7.49207,-1.5245,165.918,4.57129,3.049,1004.58,133.863,-0.11921,820.267,498.987,2.101665,537.375,-0.517663,318.964,2.813622,-3.70921,-3.703,303.778,61.491,-0.069516,401.557,-13.5493,-2.859,-1.460219,International
0.4335,0.06582,30.009,-71.9601,-73.682,-242.808,-54.8681,-0.241209,4.28215,2176.94,0.25722,9.03706,9.7905,96.465,-7.99637,-14.985,1157.19,261.773,1.318603,894.088,680.826,0.413234,378.652,-0.245879,401.682,0.856886,0.543809,-0.25,376.822,89.737,0.174975,298.91,-25.1949,-9.455,-0.204591,Jazz
