@relation 'song-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R3,86,92-93,108,112,118,120-121,129,132,136,143,150,155,157,164,170,179-181,193,200,202,210,217,219,225,265,271,304,337,349,385,390,436,441,589,601,178'

@attribute pitches0-var numeric
@attribute timbre0-med numeric
@attribute timbre1-mean numeric
@attribute timbre1-med numeric
@attribute timbre3-var numeric
@attribute timbre3-krt numeric
@attribute timbre4-skw numeric
@attribute timbre5-mean numeric
@attribute timbre5-med numeric
@attribute timbre6-var numeric
@attribute timbre6-skw numeric
@attribute timbre7-var numeric
@attribute timbre8-var numeric
@attribute timbre9-var numeric
@attribute timbre10-mean numeric
@attribute timbre10-var numeric
@attribute timbre11-var numeric
@attribute loudmax-med numeric
@attribute seglen-mean numeric
@attribute seglen-med numeric
@attribute seglen-var numeric
@attribute chordsize-mean numeric
@attribute chordfreq-mean numeric
@attribute chordfreq-var numeric
@attribute rep0-max numeric
@attribute rep0-krt numeric
@attribute intra0-posmax numeric
@attribute intra0-negmax numeric
@attribute inter1-posmean numeric
@attribute inter1-negmean numeric
@attribute inter2-negmean numeric
@attribute inter3-negmean numeric
@attribute rep4-krt numeric
@attribute intra5-posmean numeric
@attribute intra5-negmax numeric
@attribute inter6-negmean numeric
@attribute rep7-max numeric
@attribute intra11-negmean numeric
@attribute inter11-negmean numeric
@attribute genre {Pop_Rock,Electronic,Rap,Jazz,Latin,RnB,International,Country,Religious,Reggae,Blues,Vocal,Folk,New,Comedy_Spoken,Stage,Easy_Listening,Avant_Garde,Classical,Children,Holiday}

@data
0.114544,42.497,15.6629,14.318,2968.07,1.708595,-0.116074,15.1709,12.925,729.029,-0.024717,1289.94,729.295,581.962,-13.5633,600.77,314.232,-12.734,0.00103,0.000951,0,2.159091,9.584158,473.66866,0.994026,4.66622,0.997476,0.995205,0.267744,-0.248059,-0.283573,-0.239906,3.438172,0.310544,0.182871,-0.256516,0.115892,-0.110628,-0.251255,Rap
0.094196,44.1075,-4.03539,-4.0145,1592.17,0.022437,-0.163456,5.05239,0.37,403.61,0.153658,384.477,308.134,282.151,-2.75264,258.996,146.146,-11.1705,0.001818,0.001685,0.000001,1.604736,8.578125,334.525146,0.996989,8.115721,0.998426,0.99646,0.325456,-0.307252,-0.303991,-0.30347,6.384977,0.261856,-0.158644,-0.304661,0.167462,-0.192497,-0.281326,Pop_Rock
0.103458,47.161,41.149,43.3,996.355,29.325972,-1.057697,-7.36008,-9.922,488.369,0.726338,305.86,659.361,228.705,0.261616,155.987,347.229,-9.879,0.001218,0.001163,0,1.74665,6.729508,146.164539,0.998511,27.004476,0.999568,0.998923,0.367167,-0.350639,-0.348675,-0.284797,26.455088,0.441905,0.470195,-0.350783,0.125904,-0.157499,-0.304561,Pop_Rock
0.05495,51.497,27.8456,27.19,927.453,78.762596,0.203888,-17.9973,-19.334,402.821,-0.108235,229.144,188.283,171.139,5.44843,211.886,119.32,-5.921,0.001486,0.001141,0.000002,1.753343,7.236559,209.922534,0.998396,2.510192,0.999882,0.999792,0.279408,-0.250063,-0.302689,-0.313224,0.095813,0.483948,0.544598,-0.27738,0.447052,0.031108,-0.300305,Pop_Rock
0.06149,43.515,-9.01993,-10.718,1123.64,9.566496,0.574797,-11.546,-13.406,561.7,-0.176185,439.456,321.182,218.491,2.24223,210.445,346.781,-13.298,0.001198,0.000826,0.000002,1.645509,8.520408,455.086318,0.997641,1.464811,0.998893,0.996297,0.317921,-0.31871,-0.374396,-0.276762,20.560527,0.47605,0.862225,-0.313516,0.301786,0.223735,-0.3291,Religious
0.083765,31.59,6.38163,-0.429,3629.53,1.62725,-0.459389,28.7659,23.502,933.429,0.331949,1357.48,1378.23,710.159,-11.1997,783.505,370.3,-22.746,0.002079,0.001864,0.000001,1.948025,4.372727,26.61562,0.980075,3.264225,0.984815,0.959369,0.235659,-0.222823,-0.228531,-0.207703,3.284556,0.484081,0.380824,-0.266077,0.170389,0.163156,-0.260817,Rap
0.101052,41.905,6.28191,8.2135,630.058,2.993941,0.154852,-14.6125,-16.847,311.739,-0.053371,381.438,240.147,235.774,-0.40923,177.476,201.247,-15.2455,0.001096,0.000736,0.000001,1.944018,9.489583,447.541558,0.998142,9.385735,0.999613,0.998745,0.332456,-0.314035,-0.355374,-0.275267,10.553458,0.582103,0.834537,-0.288423,0.305472,-0.033291,-0.2886,Pop_Rock
0.151765,46.15,41.8435,47.275,522.75,7.03942,0.019359,-17.1528,-18.221,582.069,-0.391229,369.925,355.715,196.55,-8.50749,125.81,267.172,-10.857,0.001431,0.001329,0.000002,2.041547,10.738462,1387.146982,0.999095,11.644516,0.999509,0.999055,0.360118,-0.340223,-0.34205,-0.272944,4.893716,0.67386,0.729941,-0.329986,0.165664,0.224115,-0.360155,Pop_Rock
0.021688,46.861,44.7007,48.83,657.295,3.023342,0.352039,-13.2288,-16.925,353.757,-0.473166,261.309,270.91,198.594,1.03925,179.924,188.814,-9.175,0.000941,0.000793,0,1.556914,10.421569,536.204633,0.998586,11.385954,0.999475,0.998376,0.313528,-0.327226,-0.285851,-0.243133,9.383047,0.426109,0.464408,-0.303782,0.156492,-0.149135,-0.281731,RnB
0.044659,42.073,-59.6562,-52.699,1503.02,1.549265,0.071907,-6.1526,-12.3215,468.888,-0.298014,504.827,411.381,367.506,7.6615,263.757,260.705,-12.489,0.000614,0.000516,0,1.79914,11.628571,986.090612,0.996474,1.555873,0.999592,0.999178,0.294517,-0.291735,-0.323499,-0.248033,8.580602,0.431231,0.676501,-0.2716,0.201788,-0.028125,-0.283251,Pop_Rock
