@RELATION song
@ATTRIBUTE pitches0-mean NUMERIC
@ATTRIBUTE pitches0-med NUMERIC
@ATTRIBUTE pitches0-var NUMERIC
@ATTRIBUTE pitches0-min NUMERIC
@ATTRIBUTE pitches0-max NUMERIC
@ATTRIBUTE pitches0-skw NUMERIC
@ATTRIBUTE pitches0-krt NUMERIC
@ATTRIBUTE pitches1-mean NUMERIC
@ATTRIBUTE pitches1-med NUMERIC
@ATTRIBUTE pitches1-var NUMERIC
@ATTRIBUTE pitches1-min NUMERIC
@ATTRIBUTE pitches1-max NUMERIC
@ATTRIBUTE pitches1-skw NUMERIC
@ATTRIBUTE pitches1-krt NUMERIC
@ATTRIBUTE pitches2-mean NUMERIC
@ATTRIBUTE pitches2-med NUMERIC
@ATTRIBUTE pitches2-var NUMERIC
@ATTRIBUTE pitches2-min NUMERIC
@ATTRIBUTE pitches2-max NUMERIC
@ATTRIBUTE pitches2-skw NUMERIC
@ATTRIBUTE pitches2-krt NUMERIC
@ATTRIBUTE pitches3-mean NUMERIC
@ATTRIBUTE pitches3-med NUMERIC
@ATTRIBUTE pitches3-var NUMERIC
@ATTRIBUTE pitches3-min NUMERIC
@ATTRIBUTE pitches3-max NUMERIC
@ATTRIBUTE pitches3-skw NUMERIC
@ATTRIBUTE pitches3-krt NUMERIC
@ATTRIBUTE pitches4-mean NUMERIC
@ATTRIBUTE pitches4-med NUMERIC
@ATTRIBUTE pitches4-var NUMERIC
@ATTRIBUTE pitches4-min NUMERIC
@ATTRIBUTE pitches4-max NUMERIC
@ATTRIBUTE pitches4-skw NUMERIC
@ATTRIBUTE pitches4-krt NUMERIC
@ATTRIBUTE pitches5-mean NUMERIC
@ATTRIBUTE pitches5-med NUMERIC
@ATTRIBUTE pitches5-var NUMERIC
@ATTRIBUTE pitches5-min NUMERIC
@ATTRIBUTE pitches5-max NUMERIC
@ATTRIBUTE pitches5-skw NUMERIC
@ATTRIBUTE pitches5-krt NUMERIC
@ATTRIBUTE pitches6-mean NUMERIC
@ATTRIBUTE pitches6-med NUMERIC
@ATTRIBUTE pitches6-var NUMERIC
@ATTRIBUTE pitches6-min NUMERIC
@ATTRIBUTE pitches6-max NUMERIC
@ATTRIBUTE pitches6-skw NUMERIC
@ATTRIBUTE pitches6-krt NUMERIC
@ATTRIBUTE pitches7-mean NUMERIC
@ATTRIBUTE pitches7-med NUMERIC
@ATTRIBUTE pitches7-var NUMERIC
@ATTRIBUTE pitches7-min NUMERIC
@ATTRIBUTE pitches7-max NUMERIC
@ATTRIBUTE pitches7-skw NUMERIC
@ATTRIBUTE pitches7-krt NUMERIC
@ATTRIBUTE pitches8-mean NUMERIC
@ATTRIBUTE pitches8-med NUMERIC
@ATTRIBUTE pitches8-var NUMERIC
@ATTRIBUTE pitches8-min NUMERIC
@ATTRIBUTE pitches8-max NUMERIC
@ATTRIBUTE pitches8-skw NUMERIC
@ATTRIBUTE pitches8-krt NUMERIC
@ATTRIBUTE pitches9-mean NUMERIC
@ATTRIBUTE pitches9-med NUMERIC
@ATTRIBUTE pitches9-var NUMERIC
@ATTRIBUTE pitches9-min NUMERIC
@ATTRIBUTE pitches9-max NUMERIC
@ATTRIBUTE pitches9-skw NUMERIC
@ATTRIBUTE pitches9-krt NUMERIC
@ATTRIBUTE pitches10-mean NUMERIC
@ATTRIBUTE pitches10-med NUMERIC
@ATTRIBUTE pitches10-var NUMERIC
@ATTRIBUTE pitches10-min NUMERIC
@ATTRIBUTE pitches10-max NUMERIC
@ATTRIBUTE pitches10-skw NUMERIC
@ATTRIBUTE pitches10-krt NUMERIC
@ATTRIBUTE pitches11-mean NUMERIC
@ATTRIBUTE pitches11-med NUMERIC
@ATTRIBUTE pitches11-var NUMERIC
@ATTRIBUTE pitches11-min NUMERIC
@ATTRIBUTE pitches11-max NUMERIC
@ATTRIBUTE pitches11-skw NUMERIC
@ATTRIBUTE pitches11-krt NUMERIC
@ATTRIBUTE timbre0-mean NUMERIC
@ATTRIBUTE timbre0-med NUMERIC
@ATTRIBUTE timbre0-var NUMERIC
@ATTRIBUTE timbre0-min NUMERIC
@ATTRIBUTE timbre0-max NUMERIC
@ATTRIBUTE timbre0-skw NUMERIC
@ATTRIBUTE timbre0-krt NUMERIC
@ATTRIBUTE timbre1-mean NUMERIC
@ATTRIBUTE timbre1-med NUMERIC
@ATTRIBUTE timbre1-var NUMERIC
@ATTRIBUTE timbre1-min NUMERIC
@ATTRIBUTE timbre1-max NUMERIC
@ATTRIBUTE timbre1-skw NUMERIC
@ATTRIBUTE timbre1-krt NUMERIC
@ATTRIBUTE timbre2-mean NUMERIC
@ATTRIBUTE timbre2-med NUMERIC
@ATTRIBUTE timbre2-var NUMERIC
@ATTRIBUTE timbre2-min NUMERIC
@ATTRIBUTE timbre2-max NUMERIC
@ATTRIBUTE timbre2-skw NUMERIC
@ATTRIBUTE timbre2-krt NUMERIC
@ATTRIBUTE timbre3-mean NUMERIC
@ATTRIBUTE timbre3-med NUMERIC
@ATTRIBUTE timbre3-var NUMERIC
@ATTRIBUTE timbre3-min NUMERIC
@ATTRIBUTE timbre3-max NUMERIC
@ATTRIBUTE timbre3-skw NUMERIC
@ATTRIBUTE timbre3-krt NUMERIC
@ATTRIBUTE timbre4-mean NUMERIC
@ATTRIBUTE timbre4-med NUMERIC
@ATTRIBUTE timbre4-var NUMERIC
@ATTRIBUTE timbre4-min NUMERIC
@ATTRIBUTE timbre4-max NUMERIC
@ATTRIBUTE timbre4-skw NUMERIC
@ATTRIBUTE timbre4-krt NUMERIC
@ATTRIBUTE timbre5-mean NUMERIC
@ATTRIBUTE timbre5-med NUMERIC
@ATTRIBUTE timbre5-var NUMERIC
@ATTRIBUTE timbre5-min NUMERIC
@ATTRIBUTE timbre5-max NUMERIC
@ATTRIBUTE timbre5-skw NUMERIC
@ATTRIBUTE timbre5-krt NUMERIC
@ATTRIBUTE timbre6-mean NUMERIC
@ATTRIBUTE timbre6-med NUMERIC
@ATTRIBUTE timbre6-var NUMERIC
@ATTRIBUTE timbre6-min NUMERIC
@ATTRIBUTE timbre6-max NUMERIC
@ATTRIBUTE timbre6-skw NUMERIC
@ATTRIBUTE timbre6-krt NUMERIC
@ATTRIBUTE timbre7-mean NUMERIC
@ATTRIBUTE timbre7-med NUMERIC
@ATTRIBUTE timbre7-var NUMERIC
@ATTRIBUTE timbre7-min NUMERIC
@ATTRIBUTE timbre7-max NUMERIC
@ATTRIBUTE timbre7-skw NUMERIC
@ATTRIBUTE timbre7-krt NUMERIC
@ATTRIBUTE timbre8-mean NUMERIC
@ATTRIBUTE timbre8-med NUMERIC
@ATTRIBUTE timbre8-var NUMERIC
@ATTRIBUTE timbre8-min NUMERIC
@ATTRIBUTE timbre8-max NUMERIC
@ATTRIBUTE timbre8-skw NUMERIC
@ATTRIBUTE timbre8-krt NUMERIC
@ATTRIBUTE timbre9-mean NUMERIC
@ATTRIBUTE timbre9-med NUMERIC
@ATTRIBUTE timbre9-var NUMERIC
@ATTRIBUTE timbre9-min NUMERIC
@ATTRIBUTE timbre9-max NUMERIC
@ATTRIBUTE timbre9-skw NUMERIC
@ATTRIBUTE timbre9-krt NUMERIC
@ATTRIBUTE timbre10-mean NUMERIC
@ATTRIBUTE timbre10-med NUMERIC
@ATTRIBUTE timbre10-var NUMERIC
@ATTRIBUTE timbre10-min NUMERIC
@ATTRIBUTE timbre10-max NUMERIC
@ATTRIBUTE timbre10-skw NUMERIC
@ATTRIBUTE timbre10-krt NUMERIC
@ATTRIBUTE timbre11-mean NUMERIC
@ATTRIBUTE timbre11-med NUMERIC
@ATTRIBUTE timbre11-var NUMERIC
@ATTRIBUTE timbre11-min NUMERIC
@ATTRIBUTE timbre11-max NUMERIC
@ATTRIBUTE timbre11-skw NUMERIC
@ATTRIBUTE timbre11-krt NUMERIC
@ATTRIBUTE loudmax-mean NUMERIC
@ATTRIBUTE loudmax-med NUMERIC
@ATTRIBUTE loudmax-var NUMERIC
@ATTRIBUTE loudmax-min NUMERIC
@ATTRIBUTE loudmax-max NUMERIC
@ATTRIBUTE loudmax-skw NUMERIC
@ATTRIBUTE loudmax-krt NUMERIC
@DATA
0.471181,0.423,0.0886839,0.01,1.0,0.369759444325,-1.08364677955,0.625913,0.664,0.116554,0.026,1.0,-0.187272013653,-1.56992949573,0.357945,0.231,0.0896613,0.013,1.0,0.760027830058,-0.71110846926,0.284739,0.177,0.0711464,0.004,1.0,1.09564023349,0.180698449747,0.367941,0.28,0.104039,0.006,1.0,0.79089708284,-0.611180160917,0.306885,0.245,0.0685489,0.003,1.0,0.84742971829,-0.0612357904842,0.35035,0.233,0.110614,0.003,1.0,0.778653355114,-0.767010261071,0.298666,0.19,0.0913802,0.002,1.0,0.964325415218,-0.296891919128,0.344612,0.184,0.12724,0.005,1.0,0.841693041992,-0.845613511327,0.343937,0.187,0.129549,0.002,1.0,0.864388930535,-0.826739863915,0.30668,0.196,0.0834235,0.002,1.0,0.987498879589,-0.179057560446,0.324174,0.171,0.114544,0.001,1.0,0.953968508992,-0.531954545173,41.5128,42.497,24.4485,0.0,49.508,-2.11170955536,8.15350018645,15.6629,14.318,3784.71,-213.799,283.175,0.238503116922,1.49228142632,-5.78968,1.307,3448.15,-181.904,153.963,-0.523172633491,0.203364515176,-0.789845,4.355,2968.07,-224.725,316.679,-0.331361569358,1.70859477529,-43.2349,-41.778,1058.16,-156.417,68.117,-0.116074361791,0.356737944237,15.1709,12.925,1411.37,-176.166,136.924,0.305406690594,0.893258434698,15.139,15.733,729.029,-79.286,106.387,-0.0247166196037,0.0939397184255,1.505,3.878,1289.94,-107.288,105.151,-0.268667893034,0.273772166952,6.58957,6.97,729.295,-73.75,101.811,0.0791479096784,0.194357978063,12.2986,12.523,581.962,-56.921,101.515,0.176596960356,0.792963953036,-13.5633,-10.957,600.77,-93.685,56.65,-0.374805345012,0.272343840155,5.44248,5.195,314.232,-72.16,67.531,-0.0798222301978,0.627539213216,-13.5783,-12.734,23.2573,-60.0,-6.384,-2.74095771444,14.1746459823
0.207747,0.1645,0.0347213,0.006,1.0,2.02278328507,5.08177672279,0.408409,0.328,0.100057,0.016,1.0,0.804870592242,-0.631803304562,0.309996,0.1785,0.101984,0.008,1.0,1.25600152789,0.201682007269,0.173218,0.119,0.0274009,0.009,1.0,2.31988356799,6.79635932792,0.443,0.4105,0.0946329,0.011,1.0,0.424100622929,-0.95000374755,0.206716,0.137,0.0395664,0.014,1.0,1.96932201714,4.1115139482,0.297736,0.1715,0.094196,0.012,1.0,1.34966425248,0.555846865121,0.156291,0.099,0.0243974,0.011,1.0,2.32358221098,7.27204354026,0.277931,0.2455,0.0437149,0.008,1.0,1.52815790962,2.71460182214,0.564291,0.5025,0.147168,0.015,1.0,-0.0149312939309,-1.68574453459,0.218373,0.204,0.0265015,0.019,1.0,1.63401593453,4.10159732023,0.291395,0.166,0.0936745,0.008,1.0,1.46683856149,0.825990110909,43.071,44.1075,34.1927,0.0,50.411,-3.38940423863,17.4851822896,-4.03539,-4.0145,1102.46,-104.935,171.13,0.0992405770005,1.58602642476,23.5723,23.498,832.911,-64.975,114.781,-0.100618956132,0.126218910291,12.9236,10.5365,1592.17,-119.396,125.816,0.0127771774493,0.0224368150676,-2.54504,-1.6455,639.65,-79.148,71.844,-0.163455978121,-0.0701904284334,5.05239,0.37,848.11,-54.739,195.091,1.08769937912,3.37536647392,9.23815,8.557,403.61,-53.144,71.835,0.153658196272,0.37232055343,-4.34597,-4.4375,384.477,-68.958,67.924,0.0228439103835,0.88013856146,5.2241,5.7435,308.134,-54.318,62.559,-0.127353104582,0.0139642304805,2.93566,2.136,282.151,-39.438,93.124,0.544749454261,1.5138300015,-2.75264,-2.209,258.996,-44.69,50.655,-0.0404410237157,0.0201050831946,1.7294,1.2465,146.146,-30.9,32.226,0.0901328445913,-0.667630267208,-12.4506,-11.1705,35.4903,-60.0,-5.349,-3.7599919284,20.7032612587
0.407313,0.2685,0.118969,0.017,1.0,0.69824607911,-1.05390907358,0.299594,0.1915,0.0738081,0.015,1.0,1.25423901224,0.569498887686,0.256429,0.15,0.067719,0.014,1.0,1.59135657587,1.69174787776,0.427212,0.2655,0.133156,0.009,1.0,0.622133206773,-1.24028056957,0.262032,0.1925,0.055447,0.01,1.0,1.53363518535,1.95599565829,0.240454,0.1445,0.062572,0.01,1.0,1.59900045569,1.73416047073,0.169489,0.1075,0.0331314,0.007,1.0,2.16494697515,5.05609460008,0.297359,0.163,0.0934053,0.005,1.0,1.28139988939,0.334087266648,0.273988,0.16,0.0729699,0.016,1.0,1.55127799873,1.31824919672,0.430112,0.33,0.105422,0.019,1.0,0.59229632001,-1.04263376829,0.453607,0.3455,0.121044,0.015,1.0,0.503237512183,-1.28375546343,0.197391,0.135,0.0370408,0.02,1.0,2.17603787548,5.15859051925,45.1308,45.8365,17.9093,0.0,53.37,-2.89950728226,23.8342894848,-76.8233,-82.4905,2500.56,-227.069,171.124,0.586984076763,0.818870224863,50.7873,54.0755,2292.5,-112.105,200.783,-0.569129426016,0.812263133315,13.5099,8.4745,2217.48,-390.247,362.682,0.246052653185,18.2718406617,-6.54926,-8.588,1049.9,-91.641,93.013,0.234184771517,-0.447236540977,-5.51424,-9.684,706.547,-192.239,87.46,0.0968252657394,4.43160051355,1.88518,1.511,837.804,-73.751,107.862,0.092877278358,-0.163254725816,-8.96373,-7.688,578.443,-108.52,124.589,0.262488744864,2.16235640606,3.75986,0.5285,460.807,-46.988,75.544,0.706778442175,0.556809043412,-5.11795,-4.4715,324.941,-89.354,103.776,0.0453949988362,2.81816589142,8.44207,9.336,359.998,-137.749,61.534,-1.08828029549,6.33889217106,4.47717,7.2735,403.164,-63.901,57.056,-0.605879464916,0.579280901926,-11.0914,-10.728,9.87397,-59.895,-5.564,-7.00386159397,102.153013768
0.497093,0.427,0.103458,0.01,1.0,0.40618439831,-1.22520637539,0.315599,0.263,0.0458897,0.014,1.0,1.28989637764,1.52288463918,0.396124,0.29,0.100163,0.01,1.0,0.786946588656,-0.693621463698,0.29246,0.23,0.0510762,0.016,1.0,1.62349686543,2.40245964904,0.399649,0.331,0.0722045,0.02,1.0,0.916425846228,-0.0806280949602,0.419144,0.288,0.114267,0.004,1.0,0.703493908298,-0.989516206781,0.323316,0.255,0.0553744,0.005,1.0,1.22870721556,0.991395893315,0.422413,0.301,0.0988869,0.008,1.0,0.789086732147,-0.744820428741,0.282447,0.237,0.0414666,0.006,1.0,1.54879068704,2.67680288369,0.3973,0.317,0.0849525,0.02,1.0,0.908123745296,-0.286545740498,0.253177,0.199,0.0369562,0.004,1.0,1.64954827555,3.03630413318,0.413878,0.344,0.0769686,0.005,1.0,0.753275205081,-0.423115246925,45.8003,47.161,42.3602,2.568,51.937,-4.93436241833,27.1208697969,41.149,43.3,1798.72,-109.533,200.103,-0.229853844601,2.1810328803,57.5993,56.305,1141.17,-125.305,177.22,-0.0710888011959,0.539333776385,5.69531,8.725,996.355,-216.443,389.824,1.39401919605,29.3259718358,0.979893,3.966,845.947,-143.197,72.483,-1.05769655888,2.8295040553,-7.36008,-9.922,485.269,-198.819,202.348,0.611855672421,16.0755759124,-10.9172,-13.545,488.369,-72.213,114.144,0.726337861886,1.53121886314,-0.462272,-2.257,305.86,-45.468,69.412,0.475939956178,0.563794505014,-0.299411,0.589,659.361,-152.839,60.164,-1.69554367547,7.28686744599,-2.34038,-2.413,228.705,-75.291,92.399,0.140519389484,2.23209246735,0.261616,1.199,155.987,-42.752,37.213,-0.3647521562,0.501535086051,-2.4276,-0.094,347.229,-115.57,41.072,-1.51103508142,5.56461536239,-11.1149,-9.879,42.7478,-56.014,-4.048,-5.15115289279,29.5281382394
0.409174,0.32,0.0901907,0.026,1.0,0.82240655477,-0.555698536018,0.393869,0.326,0.0713576,0.043,1.0,0.843615571729,-0.281676675951,0.368544,0.301,0.0742751,0.027,1.0,0.98793309409,0.0479974490037,0.260059,0.218,0.0331445,0.026,1.0,1.57980855479,3.22932861702,0.396923,0.351,0.0555217,0.037,1.0,0.903791832398,0.34686174439,0.423939,0.321,0.100106,0.02,1.0,0.625315001216,-0.952941847534,0.382548,0.311,0.0777556,0.022,1.0,0.639171930361,-0.751819210951,0.481116,0.381,0.114364,0.028,1.0,0.413744550213,-1.34964699253,0.454322,0.413,0.063608,0.042,1.0,0.563673540527,-0.577866865782,0.6269,0.608,0.104516,0.033,1.0,-0.135013306681,-1.47346377971,0.3383,0.278,0.0549501,0.031,1.0,1.37577868575,1.45489682387,0.278859,0.241,0.0302081,0.023,1.0,0.898491995134,0.528275009371,50.2516,51.497,17.8747,0.089,54.94,-4.92316904824,42.0547056084,27.8456,27.19,508.736,-31.816,169.621,0.946230200215,3.54771380577,47.0913,51.123,1534.28,-97.505,223.941,0.149511498436,4.11470338902,11.08,8.824,927.453,-358.993,414.431,1.55200827268,78.7625960948,-43.5054,-42.667,798.134,-130.915,54.144,0.203888430814,0.317768324525,-17.9973,-19.334,541.745,-204.959,164.101,0.613083257251,13.3141109638,-5.28415,-5.702,402.821,-84.258,100.313,-0.108234522808,1.13451693601,-11.7546,-13.085,229.144,-53.514,86.671,1.19568137329,5.36773743405,10.5129,10.515,188.283,-34.176,58.84,0.245894440417,0.468215609941,2.19246,2.701,171.139,-67.256,76.55,-0.0393176057569,2.51078201743,5.44843,4.823,211.886,-88.325,83.125,0.0752521613191,8.1213989164,1.70452,0.547,119.32,-32.73,44.162,0.282163758062,0.376030541816,-6.51317,-5.921,15.6099,-59.813,-1.615,-5.29880686827,56.6645747447
0.60221,0.566,0.119846,0.027,1.0,-0.0398517855663,-1.60869215192,0.271372,0.2,0.0514931,0.009,1.0,1.32909331725,1.46181627177,0.237307,0.123,0.0724082,0.004,1.0,1.67475239692,1.96289768792,0.118252,0.057,0.0279249,0.003,1.0,3.14389868888,11.638929323,0.18064,0.128,0.0330914,0.009,1.0,2.45146890288,6.72425905499,0.518637,0.391,0.144296,0.008,1.0,0.188114791835,-1.65204752392,0.163468,0.11,0.0242455,0.009,1.0,1.94723228869,5.02504032341,0.255987,0.156,0.0614903,0.013,1.0,1.61131987699,1.85321654759,0.18378,0.117,0.0361045,0.004,1.0,2.04823666449,4.43772323247,0.324696,0.212,0.089358,0.009,1.0,1.14900330219,0.0926558817546,0.284266,0.134,0.103634,0.004,1.0,1.2944511951,0.246332406128,0.203133,0.128,0.0463017,0.007,1.0,1.95913864685,3.87403112386,43.3988,43.515,37.4599,0.047,53.091,-2.00886676488,9.02439087342,-9.01993,-10.718,1267.19,-124.275,170.004,0.492148349019,1.26948021718,7.33246,1.271,2048.76,-111.943,167.42,0.542348477347,0.267381278598,-13.0025,-14.71,1123.64,-135.423,305.531,1.0528977874,9.56649567013,-5.64285,-7.186,791.257,-99.054,109.457,0.574796775621,1.91559444484,-11.546,-13.406,475.185,-159.942,65.433,0.119914835809,2.84238232535,-15.0837,-13.194,561.7,-81.979,50.737,-0.176185291692,-0.304575009748,-9.38203,-10.099,439.456,-84.183,133.343,0.66404770045,3.95955176918,-2.1978,-1.284,321.182,-64.2,54.302,-0.216452537171,0.506750353795,-4.3827,-3.773,218.491,-69.607,54.138,-0.340487223012,0.973402422573,2.24223,3.275,210.445,-49.782,59.662,-0.268409324658,0.613282691833,9.43976,9.632,346.781,-58.089,82.205,0.0340806375445,1.27208179567,-13.6177,-13.298,38.2052,-58.879,-4.782,-2.16998274102,9.66041805771
0.421669,0.322,0.105661,0.007,1.0,0.632823000571,-0.960680571792,0.34606,0.253,0.0838969,0.004,1.0,0.949336955892,-0.224177103344,0.342696,0.251,0.0866011,0.009,1.0,0.940683678672,-0.232190376719,0.346233,0.252,0.0870559,0.008,1.0,0.997184089024,-0.118489845813,0.311212,0.216,0.0771753,0.009,1.0,1.11776371695,0.342012726794,0.316536,0.219,0.0809982,0.009,1.0,1.04541918973,0.0356783786483,0.361769,0.262,0.095752,0.013,1.0,0.935599069333,-0.394963432925,0.345528,0.246,0.082557,0.008,1.0,0.88694853238,-0.348531345831,0.407331,0.296,0.104599,0.012,1.0,0.707313434985,-0.894583681297,0.402651,0.302,0.0998078,0.013,1.0,0.687976198579,-0.852317897233,0.398116,0.298,0.0992255,0.01,1.0,0.706025131287,-0.830852917699,0.348358,0.249,0.0837645,0.009,1.0,1.00423989289,-0.0627408750535,30.7915,31.59,66.7327,2.711,46.838,-0.752768682884,0.648514343208,6.38163,-0.429,3492.3,-129.511,351.734,1.0069407755,2.64489053075,14.7406,13.063,2340.99,-106.808,194.007,0.392908508331,0.267816484068,-12.6079,-14.653,3629.53,-226.937,271.489,0.0671066966878,1.62725018038,31.2661,35.968,1497.39,-103.402,142.025,-0.459388644042,0.146247755761,28.7659,23.502,1748.64,-75.673,155.098,0.459654250258,-0.24253331672,-34.7124,-35.774,933.429,-110.069,71.06,0.331949123186,0.298919873869,7.44409,7.842,1357.48,-120.145,121.534,-0.13920749365,1.0403781582,-17.9677,-18.825,1378.23,-98.791,104.743,0.33953090468,-0.153578579245,7.30522,6.657,710.159,-65.546,92.546,0.23967828512,0.539175624298,-11.1997,-9.956,783.505,-125.023,81.586,-0.297473682149,0.642254117277,12.2276,11.914,370.3,-52.686,72.258,-0.133526558491,-0.0877902826054,-23.6746,-22.746,76.1591,-55.993,-8.085,-0.8899240439,1.13250340202
0.42773,0.305,0.151151,0.001,1.0,0.484999454867,-1.39535332375,0.259716,0.117,0.08817,0.002,1.0,1.32474594616,0.583198107903,0.227175,0.085,0.0902009,0.004,1.0,1.63891946767,1.39301598739,0.131452,0.053,0.0349396,0.002,1.0,2.45315140674,6.55937110124,0.213905,0.0795,0.0876525,0.001,1.0,1.72973116879,1.7602545294,0.104313,0.0425,0.0259643,0.001,1.0,2.82652649342,9.17944742953,0.184796,0.105,0.0448445,0.002,1.0,1.81132564001,2.97566425177,0.253923,0.098,0.111882,0.001,1.0,1.45613688645,0.558965085942,0.159315,0.072,0.045498,0.001,1.0,2.16873143466,4.73818622585,0.276172,0.0835,0.12239,0.002,1.0,1.20310254373,-0.0937966905196,0.212639,0.099,0.0626074,0.001,1.0,1.48319640941,1.36434570462,0.407947,0.2655,0.138214,0.002,1.0,0.616767443722,-1.2102586594,41.1296,41.487,31.4872,0.021,52.514,-2.55538192037,13.8429765501,-59.7112,-68.2315,3576.61,-216.136,170.733,0.693838167935,0.433603796689,-38.2854,-36.214,1576.44,-164.551,113.447,-0.274073830067,0.701147452223,-28.7345,-28.163,1366.43,-272.36,110.834,-0.481298300545,3.62996252367,6.77389,3.9,827.435,-61.273,115.468,0.436708179402,0.00398255614563,-15.1743,-18.242,673.556,-82.851,111.859,0.96561959551,2.11428238031,9.56812,9.913,590.885,-64.191,71.634,-0.116035799752,-0.273222267231,-2.41122,1.399,825.939,-111.714,99.614,-0.30877424951,0.511638805837,5.58305,6.333,463.831,-80.185,62.711,-0.659860344687,1.0800094986,-8.03743,-7.1185,438.98,-72.908,95.5,0.169249120793,1.86229544998,-6.72742,-6.5965,279.161,-55.191,49.569,-0.0172520654829,0.133915672123,-3.54492,-3.023,295.342,-55.008,40.72,-0.0848608658565,-0.25457638726,-15.4447,-14.636,34.4245,-59.479,-5.152,-2.45041848983,13.2603461377
0.408323,0.35,0.0712839,0.016,1.0,0.712684584758,-0.408704052469,0.404855,0.3505,0.0622411,0.027,1.0,0.776592744358,-0.168305783506,0.28125,0.224,0.0399737,0.011,1.0,1.40026126391,1.87550680212,0.35834,0.288,0.0574496,0.01,1.0,0.823093857455,-0.138556173034,0.592226,0.521,0.10292,0.012,1.0,0.0509369539434,-1.4450432469,0.262851,0.226,0.034626,0.011,1.0,1.25697797876,1.85448957936,0.360076,0.273,0.0714643,0.021,1.0,0.828515748397,-0.388232480391,0.300804,0.211,0.0613509,0.006,1.0,0.993403056039,-0.155965822679,0.462171,0.38,0.101052,0.017,1.0,0.48757962276,-1.14530346907,0.551508,0.4615,0.143766,0.011,1.0,0.0847994813427,-1.72359746248,0.383287,0.3105,0.0640517,0.022,1.0,0.853320759036,-0.240741529552,0.502596,0.427,0.110949,0.019,1.0,0.320484947132,-1.35667939753,40.6435,41.905,40.0282,0.762,47.873,-2.86591830812,10.8087684774,6.28191,8.2135,1776.88,-125.082,159.061,-0.0279485973635,-0.146913998445,34.6552,37.957,1097.57,-97.937,142.762,-0.556113323155,0.856248309283,-1.29694,-0.218,630.058,-131.397,137.02,0.0455898230051,2.99394128248,-32.7627,-33.136,703.012,-111.42,64.119,0.154851832807,-0.0986266335228,-14.6125,-16.847,420.412,-116.912,99.413,1.05629325417,4.34513723001,7.70649,7.377,311.739,-59.054,70.663,-0.0533706993808,0.638714404989,-8.35341,-8.3155,381.438,-60.45,100.49,0.351013024711,0.917505832544,10.384,10.6255,240.147,-42.483,75.519,0.0375557486677,0.500938508538,-1.95481,-0.382,235.774,-60.359,47.577,-0.59429348569,0.947121138632,-0.40923,0.044,177.476,-40.825,53.12,-0.0188311718826,0.464296537804,-4.8502,-4.448,201.247,-60.933,54.978,-0.00328141553508,0.669171543928,-16.5008,-15.2455,39.8513,-56.079,-9.947,-3.23665344739,13.0854877423
0.546203,0.541,0.115508,0.006,1.0,0.101311526427,-1.56409692525,0.533437,0.4595,0.134895,0.027,1.0,0.0997013493659,-1.65542414876,0.284314,0.242,0.0519803,0.005,1.0,1.3076220248,1.20589869565,0.24802,0.195,0.0452021,0.006,1.0,1.94029689746,3.59184543996,0.339732,0.231,0.0697477,0.024,1.0,1.14769391108,0.201358873133,0.323789,0.25,0.0554625,0.011,1.0,1.49538707739,1.59872880388,0.298273,0.2495,0.0396995,0.011,1.0,0.746070420633,-0.268201535499,0.295704,0.219,0.0438683,0.022,1.0,0.822528964555,-0.233578531967,0.422268,0.246,0.128463,0.015,1.0,0.439904252835,-1.53108340736,0.508447,0.3765,0.167861,0.023,1.0,0.169525081031,-1.78228377839,0.451721,0.421,0.130001,0.013,1.0,0.196519114278,-1.53137132525,0.290888,0.2565,0.0637508,0.006,1.0,0.657914150238,-0.512397922753,42.0281,43.292,40.2789,0.0,52.193,-1.57489133984,4.6463131163,21.4655,25.5055,4118.13,-154.724,233.5,0.160299148757,-0.337810894279,-10.3819,-8.7965,4201.64,-217.169,192.67,0.0481503859112,-0.266925613572,60.4222,49.035,4492.88,-178.162,316.98,0.49872897721,-0.0999068109836,-1.90691,-4.558,1784.32,-106.081,190.889,0.279428090077,0.131079534235,-15.4503,-22.541,2193.52,-145.912,204.624,0.805942469291,1.05364607341,11.929,12.4255,605.738,-84.448,101.11,-0.364944079234,0.942647617292,13.3743,12.4165,694.694,-61.403,129.664,0.588722184598,0.58431050482,3.68217,4.4195,268.394,-71.303,67.422,-0.3548715334,1.48807675682,12.1407,11.103,455.443,-93.672,77.27,0.128784876904,0.306977178907,5.97215,3.2285,776.964,-85.685,121.078,0.641540224733,1.3132994825,-6.36917,-4.0945,301.743,-77.505,42.739,-0.751414441729,0.78075511029,-11.0288,-9.9995,42.5197,-60.0,-1.601,-1.57125042051,6.07429842084
